STT,Mã ngành,Tên ngành,Tổ hợp,Ghi chú
1. Tuyển sinh Đại học chính quy trong nước,1. Tuyển sinh Đại học chính quy trong nước,1. Tuyển sinh Đại học chính quy trong nước,1. Tuyển sinh Đại học chính quy trong nước,1. Tuyển sinh Đại học chính quy trong nước
1,7310101,Ngành Kinh tế,Q00,
2,7310105,Ngành Kinh tế phát triển,Q00,
3,7310106,Ngành Kinh tế quốc tế,Q00,
4,7340101,Ngành Quản trị kinh doanh,Q00,
5,7340201,Ngành Tài chính – Ngân hàng,Q00,
6,7340301,Ngành Kế toán,Q00,
2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài,2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài,2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài,2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài,2. Tuyển sinh đại học chính quy liên kết đào tạo với nước ngoài
7,734010121,Ngành Quản trị kinh doanh (do ĐH Troy – Hoa Kỳ cấp bằng),Q00,
8,734010122,Ngành Quản trị kinh doanh (do ĐH St. Francis – Hoa Kỳ cấp bằng),Q00,
